meas_v	calc_v
4.664031621	7.622961548
5.81027668	8.442635395
5.82345191	7.992286819
5.638998682	7.860080796
8.511198946	9.247005035
8.392621871	8.081599176
7.812911726	8.479717998
8.642951252	7.432260992
9.77602108	7.523475469
7.351778656	6.890924796
7.628458498	6.06936628
7.338603426	5.738624366
7.299077734	5.804901884
7.233201581	5.884459336
6.073781291	7.528379098
6.258234519	7.197008961
4.993412385	7.10596899
4.980237154	6.403999686
4.466403162	6.139779598
5.454545455	6.443106562
5.836627141	6.25717003
6.587615283	6.428360774
6.706192358	6.203038156
6.389986825	6.150476839
5.612648221	5.793890532
5.34914361	5.820729611
5.546772069	5.608547322
6.073781291	5.011822806
4.690382082	5.252065719
4.400527009	4.81536354
5.480895916	4.959627952
5.243741765	4.867226832
5.270092227	4.642026368
5.046113307	4.589342896
5.151515152	4.45675296
6.416337286	3.792826043
