particle_num	C	B	A	rho_w	Vol	calc_v
24	0.55	1.3	1.55	2.85	0.45	7.9
26	0.9	1.1	1.7	2.65	0.7	6.78
14	0.6	1	1.6	2.85	0.7	7.78
8	0.6	0.85	1.7	2.72	0.36	5.36
25	0.7	1.45	1.7	2.65	0.72	8
10	0.55	1.25	1.65	2.7	0.47	8.74
23	0.65	0.9	1.65	2.72	0.4	5.35
9	0.9	0.9	1.95	2.71	0.56	5.45
15	0.55	0.65	1.25	2.85	0.19	4.83
16	0.55	1.1	1.5	2.7	0.38	6.45
27	0.95	1.35	1.7	2.85	0.91	7.62
29	0.65	1	1.2	2.65	0.33	6.93
35	0.45	0.95	1.25	2.85	0.23	7.4
36	1.2	1.5	2	2.85	1.5	8.09
22	0.8	1.1	1.15	2.85	0.42	7.95
7	0.6	0.9	1.6	2.85	0.36	5.84
31	0.8	1.7	1.9	2.65	1.08	8.44
21	0.9	0.95	1.4	2.72	0.5	6.38
34	0.5	1	1.2	2.72	0.25	6.5
19	0.8	0.95	1.45	2.85	0.46	7.65
20	0.6	1.4	1.55	2.85	0.54	9.3
2	0.35	1.1	1.2	2.72	0.19	7.16
28	0.65	1	1.9	2.72	0.51	5.8
11	0.45	0.8	1.45	2.72	0.22	6.17
3	0.3	1.05	1.4	2.85	0.18	7.61
12	0.75	0.75	1.35	3.1	0.32	5.92
13	0.75	0.75	0.95	2.65	0.22	6.22
4	0.5	0.7	1.3	2.74	0.19	5.98
1	0.7	0.85	1.3	2.64	0.32	6.6
30	0.4	0.5	1.2	2.72	0.1	3.86
17	0.5	0.55	0.85	2.7	0.1	4.65
6	0.6	0.95	1.2	2.72	0.29	6.2
18	0.5	0.6	1	2.7	0.13	4.61
33	0.6	0.7	1.05	2.72	0.19	5.25
32	0.5	0.75	1.4	2.72	0.22	5.07
37	0.3	0.7	0.85	2.74	0.07	5.61
