ID,width (m),grain size (mm),grain sorting coefficient,rho_s (kg/m3),rho (kg/m3),slope,discharge (m3/s), flow velocity (m/s),flow depth (m),Froude number,Reynolds number,Shields stress,dimensionless bedload flux per unit width
1026,1.999,28.7,1,2680,1000,0.0107,1.64094,2.12,0.387,1.13,591842,0.081,0.0172
1027,1.999,28.7,1,2680,1000,0.00654,1.64094,1.85,0.444,0.92,568468,0.056,0.000447
1028,1.999,28.7,1,2680,1000,0.0092,1.64094,2.07,0.397,1.08,587435,0.071,0.00938
1029,1.999,28.7,1,2680,1000,0.00928,1.64044,2.06,0.399,1.08,586626,0.072,0.00853
1030,1.999,28.7,1,2680,1000,0.00923,1.64094,2.06,0.399,1.08,586804,0.071,0.00928
1031,1.999,28.7,1,2680,1000,0.00915,1.64094,2.06,0.399,1.08,586679,0.071,0.00961
1032,1.999,28.7,1,2680,1000,0.00916,1.64094,2.07,0.398,1.08,587309,0.07,0.00938
1033,1.999,28.7,1,2680,1000,0.01373,1.64094,2.23,0.368,1.21,599890,0.099,0.0363
1034,1.999,28.7,1,2680,1000,0.0082,1.64094,1.99,0.413,1.03,580987,0.065,0.00472
1035,1.999,28.7,1,2680,1000,0.00761,1.64094,1.96,0.418,1.01,578733,0.061,0.00303
1036,1.999,28.7,1,2680,1000,0.00561,1.64094,1.81,0.455,0.89,564285,0.049,0.000298
1037,1.999,28.7,1,2680,1000,0.01769,1.64094,2.4,0.342,1.34,611470,0.12,0.0794
1038,1.999,28.7,1,2680,1000,0.01219,3.27078,2.74,0.597,1.18,1024295,0.139,0.0803
1039,1.999,28.7,1,2680,1000,0.00848,3.27078,2.51,0.653,1.04,989706,0.104,0.0365
1040,1.999,28.7,1,2680,1000,0.00707,3.27078,2.36,0.694,0.95,965686,0.092,0.0182
1041,1.999,28.7,1,2680,1000,0.00592,3.27078,2.27,0.722,0.9,950090,0.079,0.00915
1042,1.999,28.7,1,2680,1000,0.00578,3.27078,2.25,0.729,0.89,946242,0.078,0.00915
1043,1.999,28.7,1,2680,1000,0.00352,3.27078,1.96,0.835,0.74,891707,0.053,0.000297
1044,1.999,28.7,1,2680,1000,0.00345,3.27078,1.92,0.853,0.71,882754,0.053,0.000247
1045,1.999,28.7,1,2680,1000,0.01241,3.27078,2.73,0.6,1.17,1022566,0.142,0.0803
1046,1.999,28.7,1,2680,1000,0.01087,4.61381,2.88,0.801,1.08,1281043,0.164,0.08
1047,1.999,28.7,1,2680,1000,0.01067,4.4827,2.87,0.781,1.09,1258690,0.157,0.0806
1048,1.999,25.7,1,2680,1000,0.00739,4.57784,2.66,0.861,0.97,1230603,0.13,0.0427
1049,1.999,28.7,1,2680,1000,0.00737,4.55377,2.67,0.853,0.98,1229420,0.115,0.036
1050,1.999,28.7,1,2680,1000,0.00578,4.58294,2.52,0.908,0.91,1201294,0.095,0.0183
1051,1.999,28.7,1,2680,1000,0.00575,4.60871,2.49,0.925,0.89,1197130,0.096,0.0182
1052,1.999,28.7,1,2680,1000,0.00479,4.59993,2.36,0.974,0.82,1165720,0.083,0.00898
1053,1.999,28.7,1,2680,1000,0.00502,4.59993,2.4,0.961,0.84,1173332,0.087,0.00904
1054,1.999,28.7,1,2680,1000,0.00317,4.59993,2.11,1.092,0.7,1099620,0.06,0.000278
1055,1.999,28.7,1,2680,1000,0.00325,4.59993,2.11,1.092,0.7,1099620,0.062,0.000278
1056,1.999,28.7,1,2680,1000,0.01767,1.64094,2.34,0.351,1.29,607621,0.123,0.0805
