u (cm/s),C_d
12.02537281,2.849365815
13.88179142,2.507399503
13.33907126,2.328759177
15.07690896,2.325837149
17.47577793,2.156456657
15.46894097,2.123035456
18.00257937,1.977881085
18.80350643,1.95068437
16.660551,1.862764514
20.26802794,1.814547005
18.12709608,1.772035949
19.06157843,1.741820075
20.39942477,1.763091792
22.13550871,1.72081547
21.33120904,1.67233085
22.8004522,1.642147353
20.25925916,1.617775535
19.59067325,1.614707811
16.51660807,1.632685163
18.6533579,1.581351364
17.71658217,1.56010393
20.65749677,1.554227497
18.51696962,1.520798202
18.38071623,1.463272294
19.58379313,1.460317889
21.59022537,1.484657329
23.59368971,1.442397196
26.80077057,1.409291671
24.12683166,1.406102533
21.85436807,1.412019437
20.78633041,1.44525447
21.053441,1.439216152
18.37882757,1.420890746
19.71505505,1.405835422
15.70313491,1.378347314
17.97519379,1.363348649
19.3123656,1.369484099
19.04525501,1.375522417
21.45248804,1.393831634
21.71878921,1.369629796
22.78844571,1.372721803
21.71770997,1.345411769
22.11837586,1.336354291
23.72184884,1.318287902
25.59256731,1.297210448
28.66744192,1.297396616
29.20112348,1.273210966
21.7154166,1.293948461
18.64108161,1.305871307
18.64054199,1.293762293
22.11621739,1.287918237
22.11594758,1.28186373
21.84802756,1.269738528
22.38278836,1.269770905
21.98090834,1.251583102
22.64935934,1.251623574
24.78772802,1.236616815
25.98972569,1.209444383
25.72207548,1.203373688
27.19293749,1.209517231
27.72702377,1.194413341
27.45910375,1.182288139
22.3808997,1.227389358
22.11311459,1.21829141
22.64760558,1.21226928
22.37982047,1.203171331
22.11203536,1.194073383
24.25215779,1.218420918
23.98450759,1.212350222
23.85054758,1.206287621
23.71631776,1.194170514
23.18115224,1.185056377
21.04305337,1.206117642
19.03810508,1.215077988
19.30494586,1.202985163
19.57165174,1.187865085
21.30921963,1.17888855
21.71042514,1.181940086
22.24437651,1.163808943
20.63941959,1.148575545
26.92339862,1.161064989
26.92299391,1.151983229
26.6553437,1.145912533
26.65466917,1.130776267
27.18942998,1.130808644
29.73129754,1.170316728
29.19626693,1.164229845
24.11630913,1.169976769
23.71496872,1.16389798
24.38341972,1.163938451
24.6503954,1.15487288
25.0513311,1.151869909
23.5808738,1.154808126
23.98167459,1.148777902
22.64450278,1.142642452
21.17283135,1.118335388
23.57952476,1.124535592
24.64958598,1.136709359
24.64918127,1.127627599
25.18353735,1.118578216
25.45078285,1.115567151
25.98527384,1.109545022
26.25251934,1.106533957
26.51936012,1.094441132
27.1871366,1.079345336
28.25935629,1.139955158
28.39250687,1.127854239
28.12485666,1.121783543
30.39759007,1.121921146
24.91561734,1.106453014
24.24689653,1.100358036
23.84582592,1.100333753
24.11266671,1.088240928
23.31079532,1.09424687
23.577771,1.085181298
24.24581729,1.076140009
24.51306279,1.073128944
25.3154738,1.079232017
24.91480791,1.088289494
25.31587851,1.088313777
25.71721892,1.094392566
22.5081145,1.08208929
22.77509018,1.073023719
20.50168226,1.05774985
21.03657796,1.06080948
21.16999835,1.054763068
18.62921003,1.03947301
21.57012462,1.033596577
21.56958501,1.021487563
23.57682667,1.063990524
23.44246195,1.048846163
23.84326274,1.042815939
22.50582112,1.030625983
22.50541641,1.021544223
26.11721029,1.070198822
26.38432088,1.064160504
25.71573497,1.061092779
25.04687926,1.051970548
25.58137025,1.045948418
26.38364636,1.049024237
26.51666203,1.033896064
27.85423856,1.049113274
27.72000874,1.036996166
29.45919548,1.064346672
28.92362526,1.046150774
28.78966525,1.040088173
28.65557034,1.030998319
25.31358514,1.036850469
25.31304552,1.024741456
