Shields stress,slope (m/m),median grain size (cm),flow depth (cm),density (g/cm3),Re (reported),Re (calculated),phi,Incipient Motion
0.035,0.0097125,5.4,36,2.85,6744,9995.938235,1.09,Reference
0.034,0.010064,5.4,33.75,2.85,6647,9852.104287,1.09,Reference
0.027,0.00999,5.4,27,2.85,5923,8779.533168,1.09,Reference
0.072,0.0121968,5,45.45454545,2.54,7773,11654.52702,0,Reference
0.054,0.00864,5.75,57.5,2.6,8463,12687.37207,0,Reference
0.087,0.0236379,6.9,53.07692308,3.09,16138,24194.65553,0,Reference
0.034,0.010064,5.4,33.75,2.85,6731,9852.104287,1.02,Reference
0.061,0.006039,2.5,41.66666667,2.65,2463,3925.815998,0,Reference
0.012,0.00444,5.4,27,2.85,3949,5853.022112,1.09,Reference
0.086,0.0017028,2.13,177.5,2.65,2445,3665.84114,1.6,Reference
0.02,0.009918,6.2,21.37931034,2.71,6629,8937.449999,2,Competence
0.08,0.039712,7.7,22.64705882,2.46,18634,22859.70107,1.7,Competence
0.025,0.00825,1.55,7.75,2.65,877,1226.937842,0.9,Competence
0.027,0.00999,6.3,31.5,2.85,7277,11063.47626,0.71,Competence
0.024,0.010212,6.3,27.39130435,2.85,6861,10430.74545,0.71,Competence
0.021,0.0100548,6.2,22.14285714,2.71,6738,9158.161011,2,Competence
0.022,0.0101574,6.2,22.96296296,2.71,6896,9373.676639,2,Competence
0.027,0.00891,1.55,7.75,2.65,911,1275.071208,0.9,Competence
0.028,0.013986,6.3,23.33333333,2.85,7601,11266.49276,0.7,Competence
0.039,0.0100035,6.2,41.33333333,2.71,9182,12480.46972,2,Competence
0.049,0.0056595,2.1,30,2.65,1807,2708.831506,0,Competence
0.074,0.046398,7.2,18.94736842,2.65,14096,21133.41174,1.56,Competence
0.078,0.05148,7.7,19.25,2.65,16005,23995.9749,1.14,Competence
0.07,0.035805,10.6,34.19354839,2.65,24.606,36716.63125,1.06,Competence
0.047,0.0023265,7.5,250,2.65,11943,17905.88678,0,Competence
0.1131,0.05,5.7,21.27411,2.65,,18403.42247,nan,None
0.0577,0.07,9.7,13.19269286,2.65,,29181.02334,nan,None
0.1817,0.09,10.1,33.64478333,2.65,,55019.23332,nan,None
0.191,0.18,15.5,27.13791667,2.65,,107243.0707,nan,None
1.3265,0.37,7.2,42.59140541,2.65,,89476.16913,nan,None
0.041247772,0.0091,11.9,89,2.65,,33525.53359,nan,None
0.102503826,0.0299,9.9,56,2.65,,40103.09029,nan,None
0.042948403,0.0038,7.4,138,2.65,,16775.52417,nan,None
0.112121212,0.0111,2.7,45,2.65,,5973.715678,nan,None
0.049413617,0.0146,7.7,43,2.65,,19099.16667,nan,None
0.110421866,0.0202,5.1,46,2.65,,15389.97146,nan,None
0.084727273,0.0233,4,24,2.65,,9363.896625,nan,None
0.033432836,0.0077,6.7,48,2.65,,12751.28116,nan,None
0.066666667,0.0207,20.7,110,2.65,,97783.34702,nan,None
0.012886762,0.004,19,101,2.65,,37805.70327,nan,None
0.114253648,0.0509,8.1,30,2.65,,31334.12526,nan,None
0.100186916,0.0268,10.7,66,2.65,,44548.81747,nan,None
0.027471798,0.0023,13.7,270,2.65,,33797.09754,nan,None
0.085588235,0.0097,6.8,99,2.65,,20860.53368,nan,None
0.037575758,0.0059,5.9,62,2.65,,11170.86749,nan,None
0.054545455,0.006,5.6,84,2.65,,12445.61417,nan,None
0.0243379,0.0041,14.6,143,2.65,,34996.59895,nan,None
0.008867624,0.0005,9.5,278,2.65,,11087.76578,nan,None
0.053026467,0.0108,7.9,64,2.65,,20560.89399,nan,None
0.036060606,0.0034,10.4,182,2.65,,25610.70476,nan,None
0.052459016,0.0066,6.1,80,2.65,,13875.8576,nan,None
0.022190657,0.0019,9.6,185,2.65,,17817.5069,nan,None
0.017380254,0.0021,18.6,254,2.65,,42525.79955,nan,None
0.023989899,0.004,9.6,95,2.65,,18525.76152,nan,None
0.057146465,0.0146,9.6,62,2.65,,28592.79059,nan,None
0.068580542,0.0025,3.8,172,2.65,,7800.651255,nan,None
0.057971014,0.01,4.6,44,2.65,,9552.063651,nan,None
0.129292929,0.024,2.7,24,2.65,,6414.872719,nan,None
0.049354839,0.0153,6.2,33,2.65,,13791.37008,nan,None
0.118074866,0.0414,8.5,40,2.65,,34242.23708,nan,None
0.047878788,0.004,4,79,2.65,,7039.09085,nan,None
0.061414141,0.032,18,57,2.65,,76102.33111,nan,None
0.050505051,0.01,5.4,45,2.65,,11340,nan,None
0.056242424,0.004,2.5,58,2.65,,3769.615365,nan,None
0.058881923,0.0115,5.8,49,2.65,,13629.75319,nan,None
0.057463524,0.001,5.4,512,2.65,,12096,nan,None
0.079590909,0.0206,8,51,2.65,,25669.75497,nan,None
0.021548822,0.004,4.5,40,2.65,,5634.891303,nan,None
0.058181818,0.0144,6,40,2.65,,14255.27271,nan,None
0.04600551,0.001,2.2,167,2.65,,2814.4527,nan,None
0.012948403,0.0003,7.4,527,2.65,,9211.082933,nan,None
0.053110048,0.018,7.6,37,2.65,,19416.178,nan,None
0.059708193,0.019,8.1,42,2.65,,22651.63226,nan,None
0.077969697,0.0062,4,83,2.65,,8982.721191,nan,None
0.044,0.013,7,39.09230769,2.65,,15621.70413,nan,None
0.189,0.136,11.9,27.286875,2.65,,71763.95317,nan,None
0.212,0.076,6.7,30.83763158,2.65,,32109.61841,nan,None
0.039,0.004,2.5,40.21875,2.65,,3139.043445,nan,None
0.038,0.01,7.3,45.771,2.65,,15460.76925,nan,None
0.044,0.01,4.2,30.492,2.65,,7260.311993,nan,None
