Shields stress,slope (m/m),median grain size (cm),flow depth (cm),density (g/cm3),Re (reported),Re (calculated),Flow velocity(m/s),phi,Incipient Motion
0.062144258,0.103,1.5,1.493272222,2.65,,1841.587687,0.3867,nan,None
0.109537408,0.203,1.5,1.335493033,2.65,,2444.967717,0.2928,nan,None
0.121230255,0.253,1.5,1.18594815,2.65,,2572.156614,0.3213,nan,None
0.133517927,0.303,1.5,1.090616734,2.65,,2699.365479,0.2003,nan,None
0.163957794,0.356,1.5,1.139875112,2.65,,2991.285954,0.1991,nan,None
0.033060243,0.031,1.5,2.639487125,2.65,,1343.213097,0.6919,nan,None
0.047638103,0.054,1.5,2.183413041,2.65,,1612.386402,0.7716,nan,None
0.053538741,0.076,1.5,1.743531372,2.65,,1709.330241,0.7094,nan,None
0.057637504,0.098,1.5,1.455641053,2.65,,1773.554271,0.6317,nan,None
0.074286027,0.14,1.5,1.313270829,2.65,,2013.471393,0.5035,nan,None
0.149740873,0.298,1.5,1.243653227,2.65,,2858.657201,0.4214,nan,None
0.035664061,0.033,1.5,2.674804609,2.65,,1395.106295,0.7153,nan,None
0.048803032,0.057,1.5,2.119079027,2.65,,1631.981763,0.8226,nan,None
0.062484145,0.098,1.5,1.578043463,2.65,,1846.616939,0.6145,nan,None
0.07477108,0.119,1.5,1.555112794,2.65,,2020.034211,0.5106,nan,None
0.080011554,0.14,1.5,1.414489975,2.65,,2089.6245,0.4406,nan,None
0.089940095,0.173,1.5,1.286715232,2.65,,2215.483753,0.4369,nan,None
0.117211582,0.204,1.5,1.422052279,2.65,,2529.164993,0.4126,nan,None
0.101482991,0.219,1.5,1.146896818,2.65,,2353.360872,0.3592,nan,None
0.106228623,0.24,1.5,1.095482674,2.65,,2407.757112,0.314,nan,None
0.124194195,0.279,1.5,1.101722693,2.65,,2603.409864,0.2698,nan,None
0.128822159,0.212556562,2.3,2.300000004,2.65,,5034.334296,nan,nan,None
0.149045341,0.230868191,2.3,2.450000005,2.65,,5415.093583,nan,nan,None
0.154392834,0.249328003,2.3,2.349999992,2.65,,5511.379716,nan,nan,None
0.169454035,0.267949192,2.3,2.400000008,2.65,,5773.946045,nan,nan,None
