Shields stress,slope,median grain size (m),flow depth (m),density (kg/m3),observation method,used in this study,citation
0.062,0.103,0.015,0.0149,2650,None,no,"Prancevic, J. P., Lamb, M. P., & Fuller, B. M. (2014). Incipient sediment motion across the river to debris-flow transition. Geology, 42(3), 191–194. doi: 10 .1130/G34927.1 "
0.110,0.203,0.015,0.0134,2650,None,no,"Prancevic, J. P., Lamb, M. P., & Fuller, B. M. (2014). Incipient sediment motion across the river to debris-flow transition. Geology, 42(3), 191–194. doi: 10 .1130/G34927.2"
0.121,0.253,0.015,0.0119,2650,None,no,"Prancevic, J. P., Lamb, M. P., & Fuller, B. M. (2014). Incipient sediment motion across the river to debris-flow transition. Geology, 42(3), 191–194. doi: 10 .1130/G34927.3"
0.134,0.303,0.015,0.0109,2650,None,no,"Prancevic, J. P., Lamb, M. P., & Fuller, B. M. (2014). Incipient sediment motion across the river to debris-flow transition. Geology, 42(3), 191–194. doi: 10 .1130/G34927.4"
0.164,0.356,0.015,0.0114,2650,None,no,"Prancevic, J. P., Lamb, M. P., & Fuller, B. M. (2014). Incipient sediment motion across the river to debris-flow transition. Geology, 42(3), 191–194. doi: 10 .1130/G34927.5"
0.033,0.031,0.015,0.0264,2650,None,yes,"Prancevic, J. P., Lamb, M. P., & Fuller, B. M. (2014). Incipient sediment motion across the river to debris-flow transition. Geology, 42(3), 191–194. doi: 10 .1130/G34927.6"
0.048,0.054,0.015,0.0218,2650,None,no,"Prancevic, J. P., Lamb, M. P., & Fuller, B. M. (2014). Incipient sediment motion across the river to debris-flow transition. Geology, 42(3), 191–194. doi: 10 .1130/G34927.7"
0.054,0.076,0.015,0.0174,2650,None,no,"Prancevic, J. P., Lamb, M. P., & Fuller, B. M. (2014). Incipient sediment motion across the river to debris-flow transition. Geology, 42(3), 191–194. doi: 10 .1130/G34927.8"
0.058,0.098,0.015,0.0146,2650,None,no,"Prancevic, J. P., Lamb, M. P., & Fuller, B. M. (2014). Incipient sediment motion across the river to debris-flow transition. Geology, 42(3), 191–194. doi: 10 .1130/G34927.9"
0.074,0.14,0.015,0.0131,2650,None,no,"Prancevic, J. P., Lamb, M. P., & Fuller, B. M. (2014). Incipient sediment motion across the river to debris-flow transition. Geology, 42(3), 191–194. doi: 10 .1130/G34927.10"
0.150,0.298,0.015,0.0124,2650,None,no,"Prancevic, J. P., Lamb, M. P., & Fuller, B. M. (2014). Incipient sediment motion across the river to debris-flow transition. Geology, 42(3), 191–194. doi: 10 .1130/G34927.11"
0.036,0.033,0.015,0.0267,2650,None,yes,"Prancevic, J. P., Lamb, M. P., & Fuller, B. M. (2014). Incipient sediment motion across the river to debris-flow transition. Geology, 42(3), 191–194. doi: 10 .1130/G34927.12"
0.049,0.057,0.015,0.0212,2650,None,no,"Prancevic, J. P., Lamb, M. P., & Fuller, B. M. (2014). Incipient sediment motion across the river to debris-flow transition. Geology, 42(3), 191–194. doi: 10 .1130/G34927.13"
0.062,0.098,0.015,0.0158,2650,None,no,"Prancevic, J. P., Lamb, M. P., & Fuller, B. M. (2014). Incipient sediment motion across the river to debris-flow transition. Geology, 42(3), 191–194. doi: 10 .1130/G34927.14"
0.075,0.119,0.015,0.0156,2650,None,no,"Prancevic, J. P., Lamb, M. P., & Fuller, B. M. (2014). Incipient sediment motion across the river to debris-flow transition. Geology, 42(3), 191–194. doi: 10 .1130/G34927.15"
0.080,0.14,0.015,0.0141,2650,None,no,"Prancevic, J. P., Lamb, M. P., & Fuller, B. M. (2014). Incipient sediment motion across the river to debris-flow transition. Geology, 42(3), 191–194. doi: 10 .1130/G34927.16"
